ranking,title,location,continent
664,University of Granada,Spain,Europe
665,University of Graz,Austria,Europe
666,University of Greenwich,United Kingdom,Europe
667,Guangdong University of Technology,China,Asia
668,University of Haifa,Israel,Asia
669,Hamburg University of Technology,Germany,Europe
670,Huazhong Agricultural University,China,Asia
671,University of Huddersfield,United Kingdom,Europe
672,University of Idaho,United States,America
673,IDC Herzliya,Israel,Asia
674,"Indian Institute of Science Education and Research, Pune",India,Asia
675,Indian Institute of Science Education and Research Kolkata,India,Asia
676,Indian Institute of Technology Gandhinagar,India,Asia
677,Indian Institute of Technology Hyderabad,India,Asia
678,Indraprastha Institute of Information Technology Delhi,India,Asia
679,Universitat Internacional de Catalunya,Spain,Europe
680,University of International Business and Economics,China,Asia
681,University of Ioannina,Greece,Europe
682,ISCTE-University Institute of Lisbon,Portugal,Europe
683,Isfahan University of Technology,Iran,Asia
684,Jamia Millia Islamia,India,Asia
685,Jaume I University,Spain,Europe
686,Jawaharlal Nehru University,India,Asia
687,Jiangsu Normal University,China,Asia
688,Jikei University School of Medicine,Japan,Asia
689,Jinan University,China,Asia
690,University of Johannesburg,South Africa,Africa
691,Johannes Kepler University of Linz,Austria,Europe
692,Kafrelsheikh University,Egypt,Africa
693,University of Kaiserslautern,Germany,Europe
694,Kansai Medical University,Japan,Asia
695,Kansas State University,United States,America
696,Kazan Federal University,Russian Federation,Asia
697,Universiti Kebangsaan Malaysia,Malaysia,Asia
698,Keio University,Japan,Asia
699,King George‘s Medical University,India,Asia
700,Kobe University,Japan,Asia
701,Konkuk University,South Korea,Asia
702,University of Kurdistan,Iran,Asia
703,University of Lagos,Nigeria,Africa
704,Lakehead University,Canada,America
705,University of La Laguna,Spain,Europe
706,University of Latvia,Latvia,Europe
707,Lehigh University,United States,America
708,University of Lille,France,Europe
709,Lincoln University,New Zealand,Oceania
710,University of Lleida,Spain,Europe
711,University of Lorraine,France,Europe
712,Mae Fah Luang University,Thailand,Asia
713,Mahatma Gandhi University,India,Asia
714,Mahidol University,Thailand,Asia
715,University of Malta,Malta,Europe
716,Manchester Metropolitan University,United Kingdom,Europe
717,Marche Polytechnic University,Italy,Europe
718,"University of Maryland, Baltimore County",United States,America
